"book_isbn";"book_title";"book_publisher";"book_price";"book_description";"book_image";"author_id"
"2090000063035";"2019 인생일력";"민음사";16000;"2019년 인생일력. 한국 산문선에서 찬란히 빛나는 우리 옛글을 가려 뽑고, 논어에서 한시까지, 사기에서 하이쿠까지 민음사의 동양고전 80권을 한 해 속에 담았다. 365가지 다채로운 문장들과 그날의 느낌을 함께 할 수 있다.";"https://image.aladin.co.kr/product/17308/13/cover500/k032534291_1.jpg";2273
"8809501981465";"정재승의 인간 탐구 보고서 라후드 인형 (알라딘 단독)";"아울북";25000;"『정재승의 인간 탐구 보고서』 속 사랑스러운 라후드가 인형으로 출시되었다.";"https://image.aladin.co.kr/product/31367/50/cover/k052832801_1.jpg";7008
"8809856420039";"엔젤 타로카드 공식 한국판";"한즈미디어(한스미디어)";33000;"엔젤 앤서 오라클카드의 저자인 래들리 밸런타인은 엔젤 세계관의 권위자이며, 온화하고 긍정적인 메시지를 전하는 연설가로도 널리 알려져 있다. 엔젤 타로카드는 타로의 전통을 따르면서도, 긍정적이고 온건하며 삶에 확신을 주는 메시지와 그림으로만 구성되어 있다.";"https://image.aladin.co.kr/product/31339/13/cover/k202832897_1.jpg";7084
"8809895820067";"시나모롤 컬러링 아트북";"연필선인장";15000;"구름처럼 몽글몽글한 시나모롤 일러스트를 색칠하고 예쁘게 꾸미고 소장하는 시나모롤 컬러링 아트북! 다양한 주제의 고퀄리티 시나모롤 일러스트와 시나모롤 패턴, 시나모롤 만들기, 시나모롤 스티커로 나만의 개성을 담아 시나모롤 컬러링 아트북을 꾸미고 만들어 보자!";"https://image.aladin.co.kr/product/31356/62/cover/k232832099_1.jpg";7048
"9771227137008";"경제와 사회 137호 - 2023.봄";"한울(한울아카데미)";28000;"《경제와사회》2023년 봄호(137호)는 특집논문 2편, 기획특집 1편, 일반논문 3편, 서평 3편 등 모두 9편의 원고를 실었다. 이번 호 특집은 ‘기후위기와 사회전환’이라는 주제로 두 편의 글을 실었다.";"https://image.aladin.co.kr/product/31423/97/cover/k122832219_1.jpg";6666
"9771976979003";"시사 오늘 제304호 : 2023.04.18";"펜과오늘";4000;"펜과오늘에서 발행하는 시사전문 잡지이다. 격주간으로 발행되고 있다.";"https://image.aladin.co.kr/product/31424/57/cover/k252832211_1.jpg";6634
"9772233578106";"서울아트가이드 Seoul Art Guide 2023.4";"김달진미술연구소";4900;"2002년 1월 창간한 『서울아트가이드』는 국내외에서 개최되는 최신 미술전시정보를 한 눈에 볼 수 있는 가장 대표적인 정보지로 국내외 미술현장 소식, 칼럼 등 정확하고 전문적인 미술정보를 발행 및 보급하여 미술계 소식소통에 기여하고 있다.";"https://image.aladin.co.kr/product/31425/1/cover/k932832212_1.jpg";6609
"9772383984000";"인공지능과 인류의 미래 - 한국 스켑틱 Skeptic 2015 Vol.3";"바다출판사";15000;"우리를 미혹하는 수많은 것들을 조사하고 검증하여 과학, 심리학, 인류학 등 여러 분야를 포괄하는 통찰력 있는 관점을 제시하는 새로운 과학잡지.";"https://image.aladin.co.kr/product/6565/2/cover500/k352433850_1.jpg";2526
"9772384289005";"미스테리아 38호";"엘릭시르";13000;"《미스테리아》 38호의 특집은 일본의 민속학 호러 미스터리를 집중 조명한다. 도저히 평범한 인간의 행위라고는 믿기 힘들 만큼 지나치게 기묘하고 장식적이고 복잡한 살인 사건이 벌어졌을 때, 그리고 사건이 벌어진 장소에서만 통용되는 특정한 규칙과 믿음의 체계가 죽음의 진상과 뒤얽힐 때, 바로 그 부분에서 민속학 호러 미스터리가 발생한다.";"https://image.aladin.co.kr/product/28412/98/cover500/k322835017_1.jpg";1969
"9772384367000";"악스트 Axt 2023.3.4 - no.047";"은행나무";10000;"47호 cover story 인터뷰이는 2022년 현대문학상 수상자이자, 최근 드라마 너를 닮은 사람의 방영으로 대중들에게도 이름을 널리 알린 소설가 정소현이다. 결혼과 동시에 등단하여 육아와 작품 활동을 병행해온 그는 스스로가 작가처럼 여겨지지 않는다는 이야기로 인터뷰의 문을 열었다.";"https://image.aladin.co.kr/product/31311/70/cover/k682832787_1.jpg";7198
"9772586200235";"전지적 곤충 시점";"이음";15000;"곤충이 만드는 광대하고 분주한 세계를 탐색한다. 곤충의 행태와 습성, 생존과 적응을 위한 전략 등은 많은 면에서 인간과 맞닿아 있다. 주의를 기울이지 않았을 뿐 곤충과 거리가 가깝다는 것을 인식하는 순간, 세계를 바라보는 렌즈가 그만큼 늘어난다.";"https://image.aladin.co.kr/product/31281/49/cover/k802832472_1.jpg";1876
"9772671937008";"종합문예 유성 2023.제16호";"도서출판유성";15000;"사단법인 종합문예유성 회원님들의 신인문학상 수산작과 문예대학교 졸업작품, 회원 작품 등을 실은 문예지(계간지)다.";"https://image.aladin.co.kr/product/31446/66/cover/k372832826_1.jpg";6142
"9772951413031";"긋닛 3호 : 노동과 우리";"이음";7000;"우리 시대에 간과할 수 없는 특정한 주제를 중심으로 계절별로 한 편의 주제 에세이와 세 편의 단편소설을 엮는 소설잡지 『긋닛』. 3호는 ‘노동과 우리’를 키워드로 이상헌 국제노동기구(ILO) 고용정책국장의 주제 에세이와 민병훈, 천현우, 한유주 작가의 단편소설을 수록했다.";"https://image.aladin.co.kr/product/31281/44/cover/k112832472_1.jpg";7274
"9780003751154";"Collins Cobuild English Dictionary for Advanced Learners (3판) - Hardback";"Harper Collins";53800;"총 110,000여 단어를 수록했으며, 105,000여 개의 생생한 예문이 덧붙여져 있다. 동의어, 반의어도 16,000 이상이 실려있을만큼 풍부하다. 2판에 비해 어휘와 예문이 훨씬 더 늘었다는 것 외에는 내용상 큰 차이는 없다. 편집에 있어서는 박스를 적당히 이용하여 더욱 깔끔하게 처리하여 눈에 쏙 들어온다. 또한 영국식 영어와 미국식 영어를 알아보기 쉽게 표시해 놓은 것도 이번 판의 장점이다.
";"https://image.aladin.co.kr/product/26/62/cover500/0003751155_1.gif";3323
"9788900090505";"이원복 교수의 세상만사 유럽만사";"두산동아";8000;"<새 먼나라 이웃나라> 시리즈에서 만화를 통해 다른 나라의 역사·문화 읽기를 성공적으로 보여준 저자가 새롭게 펴낸 책. 러시아, 프랑스, 독일, 노르웨이 등 유럽 43개국의 역사를 한 권에 담았다. 저자 말마따나 ""10쪽 가량의 만화에 기나긴 유럽 민족국가들의 역사를 압축한다는 것 자체가 무리""지만 만화라는 형식을 통해 유럽 여러 나라의 형성과정, 민족성과 문화차이 등을 잘 정리하고 있어 유럽을 대략적으로 파악하기에는 알맞은 책이다.";"https://image.aladin.co.kr/product/24/10/cover500/890009050x_1.gif";2895
"9788900123036";"신의 나라 인간 나라 2 - 세계 정신 문화의 뿌리를 찾아가는 여행, 신화의 세계편";"두산동아";10000;"신화가 어떻게 생겨났고 어떤 변화를 겪어 왔는지를 설명한다.  세계 여러 신화들의 연관 관계를 밝히고, 신화 속에 등장하는 다양한 신과 영웅의 이야기를 다른 각도에서 풀어 낸다. 특히, 창조 신화부터 종말 신화까지 타신화와의 비교분석을 통해 의미를 풍성하게 했다.";"https://image.aladin.co.kr/product/40/52/cover500/8900123033_2.jpg";2895
"9788900125368";"유리 상자 속의 투명한 깃털 - 햇볕은 쨍쨍 9";"두산동아";7500;"강이는 교통사고로 갑자기 말을 잃어버린 아빠가 밉기만 하다. 그러던 어느 날 우연히 마루 밑에서 말의 나라로 가는 비밀통로와 지도를 발견하게 되고, 강이는 아빠의 말을 되찾기 위해 말의 나라로 떠난다. 결국 말을 할 수 있는 깃털은 구하지만 집으로 돌아오는 길에 목숨의 위협을 받게 된다.";"https://image.aladin.co.kr/product/41/65/cover500/8900125362_2.jpg";4182
"9788900127461";"신의 나라 인간 나라 3 - 세계 정신 문화의 뿌리를 찾아가는 여행, 철학의 세계편";"두산동아";10000;"인류 문명의 정신적 뿌리인 철학이 어떻게 성립되었으며, 어떤 변화를 겪었는지, 현대의 문명 세계에 어떤 영향을 끼쳐 왔는지를 알려준다. 서양 철학에 대한 방대한 내용은 서양 문명에 대한 폭넓은 시야를 가질 수 있고, 서구 문명의 밑바탕에 흐르는 정신 세계를 쉽게 이해할 수 있다.";"https://image.aladin.co.kr/product/42/62/cover500/8900127462_2.jpg";2895
"9788900448801";"동아 연세 초등국어사전 - 반달색인.비닐커버";"동아출판(사전)";36000;"새 교육 과정(15개정) 초등학교 교과서 주요 낱말을 통해 교과서 '국어사전 찾기' 필수 단원을 완벽하게 대비하고, 어휘력을 확장시키는 초등 국어사전이다.";"https://image.aladin.co.kr/product/23508/14/cover500/8900448803_1.jpg";2010
"9788901017600";"그 많던 싱아는 누가 다 먹었을까 - MBC 느낌표 선정도서";"웅진지식하우스";7000;"MBC 느낌표 선정도서이기도 한 박완서 장편소설. 묵은 기억의 더미를 파헤쳐 30년대 개성에서의 꿈 같은 어린시절과 50년대 전쟁으로 황폐해진 서울에서의 20대까지를 때로는 수채화를 보듯이 때로는 활동사진을 보듯이 그려 낸다.";"https://image.aladin.co.kr/product/2/11/cover500/8901017601_1.gif";2034
"9788901028224";"천.천.히 그림 읽기";"웅진지식하우스";12000;"그림을 어떻게 봐야 제대로 보는 걸까. 그림을 이해하는 데 정답이 있을까? 무엇보다 그림은, 그림을 보는 지금의 '나'와 내가 사는 '현재'라는 시간이 서로 얽혀 있어 끊임없이 다르게 이해될 수 있다. 그렇기 때문에 이 책은 고대 미술에서 현대 미술까지 핵심적인 내용을 일목요연하게 설명하면서도 보는 이의 감성이 자유롭게 움직이도록 끊임없이 자극한다.";"https://image.aladin.co.kr/product/20/68/cover500/8901028220_1.jpg";2769
"9788901033334";"목수일기";"웅진지식하우스";8000;"미술평론가인가 현실문화연구를 하던, <서울에 딴스홀을 허하라>로 적잖은 '딴스홀' 유행을 불러일으키기도 했던 저자가 어느 날 보니 목수로 변신했다. 이 책은 그가 목수 일을 하며 써온 나무와 물건, 사람살이의 이야기이다.";"https://image.aladin.co.kr/product/28/67/cover500/890103333x_1.gif";3445
"9788901036410";"처음 만나는 우리 아기 이유식 - 소아과 전문의 하정훈의 이유식 혁명";"웅진지식하우스";9800;"<삐뽀삐뽀 119 소아과>의 저자인 소아과 전문의가 제시하는 올바른 이유식. 수 년 동안 전문의로서 아기들을 진료하고 엄마들과 상담한 경험과 의학적인 연구와 통계 결과를 바탕으로 만들어진 이 책은 그 동안 잘못된 정보와 주먹구구식으로 했던 이유식을 바로 잡고 과학적이고 체계적인 이유식법과 메뉴를 제시한다.";"https://image.aladin.co.kr/product/34/16/cover500/890103641x_1.jpg";3181
"9788901038018";"사진과 그림으로 보는 한국사 편지 - 전5권";"웅진주니어";43000;"대중 역사서를 줄곧 써온 역사 연구가가 딸에게 들려주는 한국사 이야기. 생활사, 사회사, 문화사 등이 골고루 담겨져 있으며, 최근의 역사학계의 연구성과를 충실히 수용하여, 옛사람들의 생활과 역사적 순간을 편지형식으로 전해준다. 모두 5권으로 구성되었다.";"https://image.aladin.co.kr/product/45/52/cover500/8901038013_1.gif";3078
"9788901038025";"사진과 그림으로 보는 한국사 편지 1 - 원시 사회부터 통일 신라와 발해까지";"웅진주니어";8500;"대중 역사서를 줄곧 써온 역사 연구가가 딸에게 들려주는 한국사 이야기. 생활사, 사회사, 문화사 등이 골고루 담겨져 있으며, 최근의 역사학계의 연구성과를 충실히 수용하여, 원시 사회부터, 통일 신라와 발해에 이르기까지 우리 조상들의 생활과 중요한 역사적 순간을 13통의 편지 속에 담았다.";"https://image.aladin.co.kr/product/36/79/cover500/8901038021_1.gif";3078
"9788901040424";"잘 찍은 사진 한 장 - 윤광준의 사진 이야기";"웅진지식하우스";12000;"사진작가 윤광준이 20여 년에 걸친 촬영 체험을 바탕으로 구체적인 촬영 노하우를 전한다. 연애 시절 부인의 사진을 찍어주며 이뤄졌던 사진 수업, 40여 년 동안 자식들의 사진을 찍어주다 개인전까지 열게 된 할머니 이야기, 사람 사진 찍는 일이 공포로 변해버린 친구 이야기, 세계 최고의 생태 사진작가 구리바야시 선생을 만났던 이야기 등 직접적인 체험을 매개로 사진 찍는 노하우를 알려준다.";"https://image.aladin.co.kr/product/39/48/cover500/8901040425_1.gif";3061
"9788901047539";"한권으로 읽는 고려왕조실록 - 개정증보판";"웅진지식하우스";18000;"2000년 출간된 <한권으로 읽는 고려왕조실록>의 개정증보판. 중국 대륙에서 수십 개의 나라가 흥망성쇠를 반복하는 5백 년 동안 지난한 삶을 지탱해온 강인한 나라 고려의 역사를 쉽게 풀어 썼다.";"https://image.aladin.co.kr/product/52/70/coversum/8901047535_1.jpg";2797
"9788901047546";"한권으로 읽는 조선왕조실록 - 개정증보판";"웅진지식하우스";18000;"1996년 출간된 이후 10년이 지난 지금까지 100만부 이상 판매되며 널리 읽혀온 <한권으로 읽는 조선왕조실록>의 개정증보판. 방대한 분량의 <조선왕조실록>을 쉽게 풀어 쓴 책으로 일반 독자들에게서 멀어진 역사를 생활 속으로 끌어들였다는 평가를 받은 바 있다.";"https://image.aladin.co.kr/product/52/70/cover500/8901047543_1.jpg";2797
"9788901049847";"지문사냥꾼 - 이적의 몽상적 이야기";"웅진지식하우스";13000;"뮤지션 이적이 펴낸 소설집. 자유자재로 방향을 트는 상상력과, 탄탄한 이야기 구조가 맞물려 있는 열두 편의 작품이 수록되어 있다. 내러티브가 명확하게 드러나는 몇 편의 이야기를 제외하고는 아주 짧은 분량의 소설들이 대부분이다. 본문에는 디자이너 이관용 씨의 일러스트를 함께 실었다.";"https://image.aladin.co.kr/product/56/9/coversum/8901049848_1.jpg";2369
"9788901050171";"괴짜경제학 - 상식과 통념을 깨는 천재 경제학자의 세상 읽기";"웅진지식하우스";12000;"'시험성적을 속이는 선생님 적발하기', '마약 판매상의 재정분석', '낙태의 합법화가 미치는 영향' 등 독특한 논문 주제로 세상의 이목을 사로잡았던 천제 경제학자 래빗이 선 보이는 '괴짜경제학 (Freak + Economics)'. 그가 허공에 대고 손가락을 몇 번 흔들면, 이제껏 진실이라 믿어왔던 것들이 정반대로 뒤집힌다.";"https://image.aladin.co.kr/product/57/1/cover500/890105017x_1.jpg";2952
"9788901051437";"지구인 화성인 우주인 - 움베르토 에코가 들려주는 이야기";"웅진주니어";10000;"움베르토 에코가 유일하게 어린이들을 위해 쓴 책이다. '전쟁과 평화' '다름에 대한 이해' '환경'이라는 가볍지 않은 주제를 어린이의 눈높이에서 잘 풀어냈다. 이탈리아 화가 에우제니오 카르미의 수준 높은 일러스트가 매쪽 실려 있다.";"https://image.aladin.co.kr/product/58/7/cover500/8901051435_1.jpg";2278
"9788901051604";"그 산이 정말 거기 있었을까 (양장) - 성년의 나날들";"웅진지식하우스";13000;"<그 많던 싱아는 누가 다 먹었을까>의 후속편으로 씌어진 박완서의 자전적 소설. 작가가 스무 살의 성년으로 들어서던 1951년부터 1953년 결혼할 때까지의 20대 이야기를 그렸다. 참혹한 전쟁 속에서, 예민하고 감수성이 강한 스무 살의 처녀가 전쟁이라는 야만의 시간을 견뎌내는 과정을 보여준다.";"https://image.aladin.co.kr/product/58/58/cover500/8901051605_2.jpg";2034
